source_tag,target_tag,reason,priority,combined_usage
christmas abc game,christmas,specific sub-tag,low,1
christmas activity and coloring book,christmas,specific sub-tag,low,1
christmas advent calendar,christmas,specific sub-tag,low,1
christmas angel,christmas,specific sub-tag,low,1
christmas ball,christmas,specific sub-tag,low,1
christmas bingo game,christmas,specific sub-tag,low,1
christmas candle,christmas,specific sub-tag,low,1
christmas card,christmas,specific sub-tag,low,1
christmas charades,christmas,specific sub-tag,low,1
christmas color by number,christmas,specific sub-tag,low,1
christmas color by number worksheet,christmas color by number,duplicate variant,low,1
christmas coloring advent calendar 2025,christmas advent calendar,year-specific variant,low,1
christmas coloring page,christmas coloring pages,singular/plural,medium,1
christmas coloring pages,christmas,specific sub-tag,low,1
christmas coloring pages for kids,christmas coloring pages,detail variant,low,1
christmas cookie mix in a jar,christmas,specific sub-tag,low,1
christmas count and color worksheet,christmas,specific sub-tag,low,1
christmas count the number worksheet,christmas,specific sub-tag,low,1
christmas coupon book last minute gift idea,christmas,specific sub-tag,low,1
christmas crossword puzzle,christmas,specific sub-tag,low,1
christmas crossword puzzles,christmas crossword puzzle,plural variant,low,1
christmas disney,christmas,specific sub-tag,low,1
christmas elf,christmas,specific sub-tag,low,1
christmas games and activities,christmas,specific sub-tag,low,1
christmas garland,christmas,specific sub-tag,low,1
christmas gift certificate,christmas,specific sub-tag,low,1
christmas gift delay card,christmas,specific sub-tag,low,1
christmas gift tags holiday gift tags,christmas gift tags,duplicate,low,1
christmas gift tags merry christmas,christmas gift tags,duplicate variant,low,1
christmas gift using the xtool m1 ultra with free svg cut file,christmas,OEM-specific tag,low,1
christmas holly,christmas,specific sub-tag,low,1
christmas i spy game free printable christmas activities,christmas i spy game,verbose variant,low,1
christmas i spy game version 2,christmas i spy game,version variant,low,1
christmas joke cootie catcher,christmas,specific sub-tag,low,1
christmas light template diy christmas decoration idea,christmas,verbose DIY tag,low,1
christmas lights coloring pages,christmas,specific sub-tag,low,1
christmas list wish list for kids,christmas,specific sub-tag,low,1
christmas magic coloring,christmas,specific sub-tag,low,1
christmas mandalas,christmas mandala,plural variant,low,1
christmas matching game,christmas,specific sub-tag,low,1
christmas matching worksheet,christmas,specific sub-tag,low,1
christmas maze christmas games and activities,christmas maze,verbose variant,low,1
christmas mazes,christmas,specific sub-tag,low,1
christmas ornament coloring page,christmas ornament coloring pages,singular variant,low,1
christmas paper roll crafts with 3,christmas,verbose tag,low,1
christmas party games for families,christmas,specific sub-tag,low,1
christmas paw patrol,christmas,specific sub-tag,low,1
christmas pillow boxes gift card holder 3 designs,christmas,specific sub-tag,low,1
christmas placemat for kids free printable activity and coloring page,christmas placemat for kids,verbose variant,low,1
christmas pot holder gift,christmas,specific sub-tag,low,1
christmas reindeer,christmas,specific sub-tag,low,1
christmas scattregories free printable game,christmas scattregories,verbose variant,low,1
christmas scavenger hunt,christmas,specific sub-tag,low,1
christmas shadow matching worksheet,christmas,specific sub-tag,low,1
christmas sleigh,christmas,specific sub-tag,low,1
christmas stitch,christmas,specific sub-tag,low,1
christmas stocking,christmas,specific sub-tag,low,1
christmas sudoku puzzle,christmas,specific sub-tag,low,1
christmas sweater,christmas,specific sub-tag,low,1
christmas themed build your own,christmas,specific sub-tag,low,1
christmas themed cut and paste projects,christmas,specific sub-tag,low,1
christmas tree,christmas,specific sub-tag,low,1
christmas tree coloring pages,christmas tree,coloring variant,medium,1
christmas tree craft for kids pom pom christmas tree,christmas tree craft,verbose variant,low,1
christmas unicorn,christmas,specific sub-tag,low,1
christmas utensil holder,christmas,specific sub-tag,low,1
christmas village,christmas,specific sub-tag,low,1
christmas wine bottle labels,christmas,specific sub-tag,low,1
christmas word scramble free printable christmas activities,christmas word scramble,verbose variant,low,1
christmas word search free printable christmas activities,christmas word search,verbose variant,low,1
christmas word searches,christmas word search,plural variant,low,1
christmas worksheets,christmas,specific sub-tag,low,1
christmas wreath,christmas,specific sub-tag,low,1
halloween abc game,halloween,specific sub-tag,low,1
halloween bat,halloween,specific sub-tag,low,1
halloween bingo free printable halloween bingo cards,halloween bingo,verbose variant,low,1
halloween candy,halloween,specific sub-tag,low,1
halloween candy bar wrappers full size and mini wrappers,halloween candy,verbose variant,low,1
halloween candy corn counting activity,halloween candy,specific variant,low,1
halloween candy sign please take one,halloween candy,verbose variant,low,1
halloween cat,halloween,specific sub-tag,low,1
halloween charades,halloween,specific sub-tag,low,1
halloween color by number,halloween,specific sub-tag,low,1
halloween color by number worksheet,halloween color by number,worksheet variant,low,1
halloween coloring calendar 2025,halloween coloring calendar,year-specific,low,1
halloween coloring pages,halloween,specific sub-tag,low,1
halloween coloring pages for kids,halloween coloring pages,detail variant,low,1
halloween crossword puzzle,halloween,specific sub-tag,low,1
halloween disney,halloween,specific sub-tag,low,1
halloween dot painting page free printable activity,halloween dot painting,verbose variant,low,1
halloween drawing prompts,halloween,specific sub-tag,low,1
halloween for kids,halloween,specific sub-tag,low,1
halloween games and activities,halloween,specific sub-tag,low,1
halloween garland easy,halloween garland,simple variant,low,1
halloween ghost,halloween,specific sub-tag,low,1
halloween gift tags happy halloween gift tags,halloween gift tags,verbose variant,low,1
halloween how many words games,halloween,specific sub-tag,low,1
halloween i spy game,halloween,specific sub-tag,low,1
halloween joke cootie catcher,halloween,specific sub-tag,low,1
halloween lacing cards,halloween,specific sub-tag,low,1
halloween mandalas,halloween mandala,plural variant,low,1
halloween mask,halloween,specific sub-tag,low,1
halloween matching game,halloween,specific sub-tag,low,1
halloween maze,halloween,specific sub-tag,low,1
halloween mazes,halloween maze,plural variant,low,1
halloween paper mask,halloween mask,material variant,low,1
halloween playdough mats,halloween,specific sub-tag,low,1
halloween pokemon,halloween,specific sub-tag,low,1
halloween pumpkin,halloween,specific sub-tag,low,1
halloween scavenger hunt for kids,halloween scavenger hunt,detail variant,low,1
halloween scavenger hunt with clues,halloween scavenger hunt,variant,low,1
halloween search and find,halloween,specific sub-tag,low,1
halloween soda bottle labels 2 liter bottles,halloween soda bottle labels,verbose variant,low,1
halloween spider web,halloween,specific sub-tag,low,1
halloween spot the difference,halloween,specific sub-tag,low,1
halloween themed build your own,halloween,specific sub-tag,low,1
halloween toilet paper roll monster craft halloween crafts for kids,halloween toilet paper roll monster craft,verbose variant,low,1
halloween toilet paper roll mummy craft halloween crafts for kids,halloween toilet paper roll mummy craft,verbose variant,low,1
halloween toilet paper roll pumpkin craft halloween crafts for kids,halloween toilet paper roll pumpkin craft,verbose variant,low,1
halloween treat bag toppers,halloween,specific sub-tag,low,1
halloween wall art diy halloween decor,halloween wall art,verbose variant,low,1
halloween water bottle labels,halloween,specific sub-tag,low,1
halloween witch,halloween,specific sub-tag,low,1
halloween word scramble,halloween,specific sub-tag,low,1
halloween word search,halloween,specific sub-tag,low,1
halloween word searches,halloween word search,plural variant,low,1
mandala,mandalas,singular/plural,medium,230+1137
adult mandala,adult mandalas,singular/plural,medium,1+265
animal mandalas,animals mandalas,singular/plural,low,1+1
bird mandala,bird mandalas,singular/plural,low,1
butterfly mandalas,butterfly mandalas,already consistent,skip,166
cat mandalas,cat mandalas,already consistent,skip,1
celtic mandalas,celtic mandalas,already consistent,skip,28
christmas mandalas,christmas mandalas,already consistent,skip,32
difficult mandalas,difficult mandalas,already consistent,skip,32
disney mandalas,disney mandalas,already consistent,skip,20
dog mandalas,dog mandalas,already consistent,skip,23
dolphin mandalas,dolphin mandalas,already consistent,skip,24
dreamcatcher mandalas,dreamcatcher mandalas,already consistent,skip,28
easter mandalas,easter mandalas,already consistent,skip,20
easy mandalas,easy mandalas,already consistent,skip,24
flake mandalas,flake mandalas,already consistent,skip,18
flower mandalas,flower mandalas,already consistent,skip,20
flowers mandalas,flowers mandalas,already consistent,skip,20
fox mandala,fox mandalas,singular/plural,low,1
halloween mandalas,halloween mandalas,already consistent,skip,32
heart mandalas,heart mandalas,already consistent,skip,32
horse mandalas,horse mandalas,already consistent,skip,24
lion mandalas,lion mandalas,already consistent,skip,24
mandalas and geometrics,mandalas,subsumed by,low,1
mandalas for kids,mandalas,kids variant,low,1
pokemon mandalas,pokemon mandalas,already consistent,skip,36
spring mandalas,spring mandalas,already consistent,skip,12
star mandalas,star mandalas,already consistent,skip,24
stitch mandalas,stitch mandalas,already consistent,skip,24
tiger mandalas,tiger mandalas,already consistent,skip,24
unicorn mandalas,unicorn mandalas,already consistent,skip,24
wolf mandalas,wolf mandalas,already consistent,skip,32
coloring pages,coloring pages,canonical form,skip,6444
coloring page,coloring pages,singular form,medium,100+
color by number,color by number,canonical,skip,864
color by numbers,color by number,plural variant,low,20
number tracing,number tracing,canonical,skip,54
number tracing worksheet,number tracing,worksheet variant,low,1
number tracing worksheets,number tracing,plural variant,low,20
letter a,letter tracing,alphabet learning,low,74
letter b,letter tracing,alphabet learning,low,74
letter c,letter tracing,alphabet learning,low,56
letter d,letter tracing,alphabet learning,low,56
letter e,letter tracing,alphabet learning,low,57
letter f,letter tracing,alphabet learning,low,34
letter g,letter tracing,alphabet learning,low,34
letter h,letter tracing,alphabet learning,low,34
letter i,letter tracing,alphabet learning,low,12
letter j,letter tracing,alphabet learning,low,12
letter k,letter tracing,alphabet learning,low,12
letter l,letter tracing,alphabet learning,low,12
letter m,letter tracing,alphabet learning,low,12
letter n,letter tracing,alphabet learning,low,12
letter o,letter tracing,alphabet learning,low,12
letter p,letter tracing,alphabet learning,low,12
letter q,letter tracing,alphabet learning,low,12
letter r,letter tracing,alphabet learning,low,12
letter s,letter tracing,alphabet learning,low,12
letter t,letter tracing,alphabet learning,low,12
letter u,letter tracing,alphabet learning,low,12
letter v,letter tracing,alphabet learning,low,12
letter w,letter tracing,alphabet learning,low,12
letter x,letter tracing,alphabet learning,low,12
letter y,letter tracing,alphabet learning,low,12
letter z,letter tracing,alphabet learning,low,12
video games,video game,plural/singular,medium,3376+2320
animation movies,animation movies,canonical,skip,3253
movies and tv shows,movies and tv shows,canonical,skip,1091
tv show,tv show,canonical,skip,1819
cartoons and animated shows,cartoons and animated shows,canonical,skip,5420
cartoon characters,cartoon characters,canonical,skip,3424
craft-coloring,craft-coloring,canonical,skip,2730
craft,craft,canonical,skip,5521
dot-to-dot,dot-to-dot,canonical,skip,7044
word-search,word search,singular/plural,medium,1131
word searches,word search,plural variant,low,92213
maze,maze,canonical,skip,63
mazes,maze,plural variant,low,92103
shape mazes,maze,specific variant,low,261122
coloring pages for girls,coloring pages for girls,canonical,skip,81107
printable word scramble puzzles,word scramble,canonical,skip,86
printable wordsearch puzzles,word search,canonical,skip,51
dot marker printables,dot marker,canonical,skip,50
alphabet dot marker printables,dot marker,specific variant,low,156
color by number worksheets,color by number,worksheet variant,low,19
kindergarten counting worksheets,counting worksheets,canonical,skip,78
